"","ci_n_avg_lows_rade","ci_n_avg_ups_rade","ci_h_avg_lows_rade","ci_h_avg_ups_rade","ci_c_avg_lows_rade","ci_c_avg_ups_rade","cs_avg_lows_rade","cs_avg_ups_rade","ci_n_avg_size_rade","ci_h_avg_size_rade","ci_c_avg_size_rade","cs_avg_size_rade","ci_n_miscov_rade","ci_h_miscov_rade","ci_c_miscov_rade","cs_miscov_rade","ci_n_avg_lows_unif","ci_n_avg_ups_unif","ci_h_avg_lows_unif","ci_h_avg_ups_unif","ci_c_avg_lows_unif","ci_c_avg_ups_unif","cs_avg_lows_unif","cs_avg_ups_unif","ci_n_avg_size_unif","ci_h_avg_size_unif","ci_c_avg_size_unif","cs_avg_size_unif","ci_n_miscov_unif","ci_h_miscov_unif","ci_c_miscov_unif","cs_miscov_unif"
"21",-0.151727663292302,0.148427663292302,-0.113373846185472,0.110073846185472,-0.0279889331066956,0.0246889331066956,-0.332536166254168,0.329236166254168,0.300155326584605,0.223447692370944,0.0526778662133911,0.661772332508336,0.199,0.367,0.96,0.001,-0.0844743476981015,0.0889461135200563,-0.109487963274494,0.113959729096449,-0.0129819377398577,0.0174537035618125,-0.328650283343191,0.333122049165145,0.173420461218158,0.223447692370944,0.0304356413016702,0.661772332508336,0.184,0.066,0.968,0
"22",-0.151103120299341,0.147797335175374,-0.112914112138384,0.109608327014417,-0.027773101057199,0.024467315933232,-0.331223754788042,0.327917969664075,0.298900455474715,0.222522439152802,0.052240416990431,0.659141724452116,0.199,0.367,0.96,0.001,-0.0840105386661693,0.0887132042782862,-0.108909886770342,0.113612552382459,-0.0127425892510955,0.0174452548632125,-0.32721952942,0.331922195032117,0.172723742944456,0.222522439152802,0.030187844114308,0.659141724452116,0.187,0.067,0.973,0
"23",-0.150279124669456,0.147393878767816,-0.112246915670269,0.109361669768629,-0.0273487375049594,0.0244634916033201,-0.329714071554209,0.32682882565257,0.297673003437272,0.221608585438898,0.0518122291082795,0.656542897206779,0.199,0.379,0.963,0.001,-0.0835234070196022,0.088525004614904,-0.108303493921798,0.1133050915171,-0.012472362386583,0.0174739599818849,-0.325770649805739,0.330772247401041,0.172048411634506,0.221608585438898,0.029946322368468,0.656542897206779,0.189,0.067,0.978,0
"24",-0.150085264729174,0.146377947656003,-0.112206608065502,0.108499290992331,-0.0275493910077998,0.0238420739346291,-0.328841264763819,0.325133947690648,0.296463212385177,0.220705899057834,0.0513914649424289,0.653975212454466,0.202,0.379,0.963,0.001,-0.0832627859768072,0.0880746965934576,-0.107946994220592,0.112758904837242,-0.0124445958915883,0.0172565065082387,-0.324581650918908,0.329393561535558,0.171337482570265,0.220705899057834,0.0297011023998269,0.653975212454466,0.192,0.067,0.982,0
"25",-0.149573477094206,0.145702509352271,-0.111842561073345,0.10797159333141,-0.0274249086020415,0.023553940860106,-0.327654508736157,0.323783540994222,0.295275986446477,0.219814154404755,0.0509788494621474,0.651438049730379,0.202,0.393,0.969,0.001,-0.0827216996287932,0.0879099311110238,-0.107312961461262,0.112501192943493,-0.0121355009839864,0.017323732466217,-0.323124909124074,0.328313140606305,0.170631630739817,0.219814154404755,0.0294592334502034,0.651438049730379,0.193,0.067,0.983,0
"26",-0.14913784028898,0.14494584028898,-0.111562566102239,0.107370566102239,-0.0273807501279953,0.0231887501279953,-0.326561402892432,0.322369402892432,0.29408368057796,0.218933132204479,0.0505695002559906,0.648930805784865,0.21,0.393,0.969,0.001,-0.0823493752143337,0.0875927220334141,-0.106844892692699,0.11208823951178,-0.0119896217724707,0.0172329685915511,-0.321843729482892,0.327087076301973,0.169942097247748,0.218933132204479,0.0292225903640219,0.648930805784865,0.194,0.07,0.985,0
"27",-0.148695269981149,0.144219079504959,-0.111269404880588,0.106793214404397,-0.0273221720907812,0.0228459816145907,-0.325464542224681,0.32098835174849,0.292914349486108,0.218062619284985,0.050168153705372,0.646452893973171,0.21,0.405,0.979,0.001,-0.0822733783186315,0.0870023098873275,-0.106666843858145,0.111395775426841,-0.0121316638170151,0.0168605953857111,-0.320861981202237,0.325590912770933,0.169275688205959,0.218062619284985,0.0289922592027262,0.646452893973171,0.195,0.071,0.987,0
"28",-0.148178289300772,0.143579864103922,-0.110900416778789,0.106301991581939,-0.0271857163955704,0.02258729119872,-0.324301084434156,0.319702659237306,0.291758153404694,0.217202408360728,0.0497730075942904,0.644003743671462,0.212,0.405,0.979,0.001,-0.0819184298196087,0.0867237870428387,-0.106198525568749,0.111003882791979,-0.0119822327313246,0.0167875899545545,-0.319599193224116,0.324404550447346,0.168642216862447,0.217202408360728,0.0287698226858791,0.644003743671462,0.195,0.072,0.989,0
"29",-0.147822920777908,0.142791670777908,-0.110691773912643,0.105660523912643,-0.0272075630592746,0.0221763130592746,-0.323307024858883,0.318275774858883,0.290614591555817,0.216352297825286,0.0493838761185492,0.641582799717765,0.212,0.413,0.982,0.001,-0.0814765269266995,0.0865489876848864,-0.105639918533549,0.110712379291736,-0.0117399818955754,0.0168124426537623,-0.318255169479789,0.323327630237976,0.168025514611586,0.216352297825286,0.0285524245493377,0.641582799717765,0.197,0.072,0.989,0
"30",-0.147270675381338,0.142216411815446,-0.110283177559376,0.105228913993484,-0.0270277525897291,0.0219734890238376,-0.32212189272125,0.317067629155359,0.289487087196784,0.21551209155286,0.0490012416135666,0.639189521876609,0.219,0.413,0.982,0.001,-0.0812584564753354,0.0860760501377719,-0.105347248945212,0.110164842607648,-0.0117534904546081,0.0165710841170446,-0.317185964107086,0.322003557769522,0.167334506613107,0.21551209155286,0.0283245745716527,0.639189521876609,0.198,0.073,0.989,0
"31",-0.146909190121282,0.141463036275128,-0.110063876277176,0.104617722431022,-0.0270352904761547,0.0215891366300009,-0.321134769086156,0.315688615240002,0.28837222639641,0.214681598708197,0.0486244271061556,0.636823384326158,0.219,0.425,0.988,0.001,-0.0809739662336183,0.0857337570815631,-0.104960903930126,0.109720694778071,-0.0116749732464057,0.0164347640943505,-0.316031796739107,0.320791587587052,0.166707723315181,0.214681598708198,0.0281097373407563,0.636823384326158,0.204,0.075,0.991,0
"32",-0.146076865821426,0.14119136963822,-0.109373064873854,0.104487568690648,-0.026569269342208,0.0216837731590019,-0.319684685674982,0.314799189491776,0.287268235459646,0.213860633564503,0.04825304250121,0.634483875166758,0.223,0.425,0.988,0.001,-0.0808580920840204,0.0851997048262602,-0.104759510411132,0.109101123153371,-0.0117757302502161,0.0161173429924559,-0.315071131212259,0.319412743954499,0.166057796910281,0.213860633564503,0.027893073242672,0.634483875166758,0.207,0.076,0.992,0
"33",-0.145591685138102,0.140591685138102,-0.109024507664476,0.104024507664476,-0.0264441914232664,0.0214441914232664,-0.318585247974906,0.313585247974906,0.286183370276204,0.213049015328952,0.0478883828465329,0.632170495949812,0.223,0.425,0.988,0.001,-0.0804949335408669,0.0849433223444337,-0.104300313262693,0.10874870206626,-0.0116175786677902,0.016065967471357,-0.313861053573123,0.31830944237669,0.165438255885301,0.213049015328952,0.0276835461391472,0.632170495949812,0.208,0.076,0.993,0
